a52dec 0.7.4-11
acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.3.1-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
aom 2.0.0-1
apparmor 2.13.4-6
archlinux-keyring 20200622-1
argon2 20190702-3
aribb24 1.0.3-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
base 2-2
bash 5.0.017-1
bash-completion 2.10-2
binutils 2.34-5
bison 3.6.4-1
bitwarden-bin 1.19.0-1
bluez-libs 5.54-2
boost-libs 1.72.0-2
brave-bin 1:1.10.97-1
brotli 1.0.7-3
btrfs-progs 5.6.1-3
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.54-1
ca-certificates-utils 20181109-3
cabextract 1.9.1-1
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cmake 3.17.3-1
code 1.46.1-1
colord 1.4.4+9+g1ce26da-2
coreutils 8.32-1
cpupower 5.7-1
cracklib 2.9.7-2
cryptsetup 2.3.3-1
curl 7.71.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.18-1
dbus-glib 0.110-2
dconf 0.36.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dialog 1:1.3_20200327-1
diffutils 3.7-3
discord 0.0.10-3
dkms 2.8.1-4
dmenu 4.9-1
dmraid 1.0.0.rc16.3-12
dosfstools 4.1-3
dotnet-host 3.1.3.sdk103.2-1
dotnet-runtime 3.1.3.sdk103.2-1
dotnet-sdk 3.1.3.sdk103.2-1
double-conversion 3.1.5-2
dwarffortress 0.47.04-2
dwm 6.2-1
e2fsprogs 1.45.6-2
efibootmgr 17-1
efivar 37-4
egl-wayland 1.1.5-1
eglexternalplatform 1.1-2
electron7 7.1.14-5
elfutils 0.180-1
enchant 2.2.8-3
exo 0.12.11-4
expat 2.2.9-3
faad2 2.9.2-1
fakeroot 1.24-2
faudio 20.06-1
feh 3.4.1-1
ffmpeg 2:4.2.3-2
file 5.39-1
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 78.0-1
firejail 0.9.62-1
flac 1.3.3-2
flex 2.6.4-3
fontconfig 2:2.13.91+48+gfcb0420-2
freeglut 3.2.1-2
freetype2 2.10.2-1
fribidi 1.0.9-1
fuse-common 3.9.2-1
fuse2 2.9.9-4
fuse3 3.9.2-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gcr 3.36-1
gdb 9.2-1
gdb-common 9.2-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.20.2-1
giflib 5.2.1-2
girara 0.3.4-2
git 2.27.0-1
glew 2.2.0-2
glib-networking 2.64.3-2
glib2 2.64.3-2
glibc 2.31-5
glibmm 2.64.2-1
glslang 8.13.3743-1
glu 9.0.1-2
gmp 6.2.0-1
gnome-desktop 1:3.36.3.1-1
gnome-disk-utility 3.36.1-2
gnupg 2.2.20-4
gnutls 3.6.14-2
go 2:1.14.4-1
gobject-introspection-runtime 1.64.1-2
gparted 1.1.0-1
gpgme 1.13.1-7
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
gsettings-desktop-schemas 3.36.1-1
gsm 1.0.19-1
gst-plugins-base-libs 1.16.2-2
gstreamer 1.16.2-2
gtk-update-icon-cache 1:3.24.21-1
gtk2 2.24.32-2
gtk3 1:3.24.21-1
gtkmm3 3.24.2-2
gtksourceview3 3.24.11+28+g73e57b57-1
guile 2.2.6-2
guile2.0 2.0.14-4
gvfs 1.44.1-4
gzip 1.10-3
harfbuzz 2.6.8-1
harfbuzz-icu 2.6.8-1
hicolor-icon-theme 0.17-2
htop 2.2.0-3
http-parser 2.9.4-1
hwids 20200306-1
hyphen 2.8.8-3
iana-etc 20200624-1
icu 67.1-1
imlib2 1.6.1-2
inetutils 1.9.4-8
intel-ucode 20200616-1
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
iso-codes 4.5.0-1
jack 0.125.0-9
jansson 2.13.1-1
java-environment-common 3-3
java-runtime-common 3-3
jdk-openjdk 14.0.1.u7-1
jre-openjdk 14.0.1.u7-1
jre-openjdk-headless 14.0.1.u7-1
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
